"id","name","sub_discipline","code","description"
1,"Civil",NULL,"CIV","Civil"
2,"Construction Management",NULL,"CRM","Construction Management"
3,"Electrical",NULL,"ELE","Electrical"
4,"Engineering Management",NULL,"EMT","Engineering Management / Engineering Team"
5,"HSE",NULL,"HSE","Health, Safety & Environment"
6,"I&C",NULL,"INC","Instrumentation & Control (I&C)"
7,"Mechanical",NULL,"MEC","Mechanical"
8,"Piping",NULL,"PIP","Piping"
9,"Package",NULL,"PKG","Package / Vendor Package"
10,"Project Management",NULL,"PRJ","Project Management"
11,"Process",NULL,"PRO","Process"
12,"Procurement",NULL,"PRP","Procurement"
13,"QA/QC",NULL,"QAC","QA/QC (Quality Assurance / Control)"
14,"Mechanical Rotary",NULL,"RO","Rotary"
36,"Mechanical Static",NULL,"STC","Static"
37,"Telecom",NULL,"TEL","Telecom"
39,"HVAC",NULL,"HVAC","Heating, Ventilation & Air Conditioning"
