title,doc_number,cust_ref,revision,discipline,class,subtype,source_sheet,discipline_inferred,score,top_weight,confidence,runner_up,runner_up_score
"PHSER REVIEW AND CLOSEOUT (III, IV AND V)",6569-01-001-M1242-004-01,30-99-97-XXXX,,ENGG HSE,Documents,Reports,package b schdule.xls,,6,4,medium,CRS,0
DESIGN CALCULATION FOR STANDARD INSERT PLATES,6569-10-100-C1310-001-01,30-99-83-1601,,CIVIL,Documents,Calculations,package b schdule.xls,,5,5,high,Specifications,3
DESIGN CALCULATION OF LIFTING HOOK FOR PRECAST ELEMENTS,6569-10-100-C1320-001-01,30-99-83-1602,,CIVIL,Documents,Calculations,package b schdule.xls,,5,5,high,CRS,0
PIPELINE DESIGN BASIS,6569-10-100-C1366-001-01,30-76-91-1601,C,PIPNG,Documents,Reports,package b schdule.xls,,5,5,high,CRS,0
INSPECTION PLAN FOR WELL HEAD CONTROL PANEL INSTALLATION WORKS PROCEDURE,6569-10-100-D1139-009-01,30-99-90-1637,,ENGG QA/QC,Documents,Procedures_Plans,package b schdule.xls,PROJECTS,8,5,high,CRS,0
AS BUILT - PROCEDURE,6569-10-100-D1139-010-01,30-99-90-1811,,ENGG QA/QC,Documents,Procedures_Plans,package b schdule.xls,PROJECTS,5,5,high,CRS,0
METHOD STATEMENT FOR INSTALLATION AND COMMISSIONING  OF GL WELL CATHODIC PROTECTION SYSTEM,6569-10-100-D1139-011-01,30-99-90-1815,,ENGG QA/QC,Documents,Procedures_Plans,package b schdule.xls,ELEC,5,5,high,CRS,0
METHOD STATMENT FOR SHAH MSM,6569-10-100-D1139-012-01,29-99-90-1602,,ENGG QA/QC,Documents,Procedures_Plans,package b schdule.xls,,5,5,high,CRS,0
PROCEDURE QUALIFICATION RECORD FOR PROCESS PIPING WELDING - SHOP & FIELD (PQR-P-06-16,6569-10-100-D1139-013-01,30-99-97-1722,,ENGG QA/QC,Documents,Procedures_Plans,package b schdule.xls,PIPNG,5,5,high,CRS,0
WELDING PROCEDURE SPECIFICATION FOR PROCESS PIPING WELDING (CS) - SHOP & FIELD WPS-P-06-16 (With PWHT),6569-10-100-D1139-014-01,30-99-97-1723,,ENGG QA/QC,Documents,Procedures_Plans,package b schdule.xls,PIPNG,5,5,high,Specifications,5
