title,doc_number,cust_ref,revision,discipline,source_sheet
CONSTRUCTION MATERIALS,6569-10-100-M1139-668-01,14-99-90-1731,,ENGG QA/QC,package b schdule.xls
SY CDS,6569-10-100-M1242-005-01,29-01-93-1601,,ENGG QA/QC,package b schdule.xls
SY-RDS-1,6569-10-100-M1242-006-01,29-11-93-1601,,ENGG QA/QC,package b schdule.xls
SY-RDS-2,6569-10-100-M1242-007-01,29-12-93-1601,,ENGG QA/QC,package b schdule.xls
"INSTRUMENT ADDITIONAL ITEMS ANALYSIS IN CONSTRUCTION OIL WELLS : SB-018, SB-098, SB-179",6569-20-200-B1360-002-01,14-70-48-1630,A,INST,package b schdule.xls
INSTRUMENT QUSAHWIRA WATER INJECTION WELL - QW 057,6569-40-240-S1371-001-01,58-71-48-1628,1,INST,package b schdule.xls
INSTRUMENT QUSAHWIRA WATER INJECTION WELL QW-059,6569-40-240-S1371-005-01,58-71-48-1630,1,INST,package b schdule.xls
INSTRUMENT QUSAHWIRA WATER INJECTION WELL QW-091,6569-40-240-S1371-007-01,58-71-48-1631,1,INST,package b schdule.xls
ROW CROSSING OVER ABOVE GROUND PIPELINES,6569-10-100-D1360-022-01,30-99-23-1653,1,PIPNG,package b schdule.xls
WORKING AGAINST THE CAHNGE REQUEST FROM ADCO FOR WIRELINE TRUCK,6569-20-200-D1225-076-01,14-30-99-1645,,PIPNG,package b schdule.xls
PROJECT SCHECULE BASIS AND ASSUMPTIONS,6536-01-001-M1130-006-01,16-99-91-2635,,PROJECTS,sahil schedule.xls
